Model,MAE,RMSE,R2
Gradient Boosting,15448.368605545304,25450.184782224114,0.9155561461202989
Random Forest,17364.637351598176,29164.52342113701,0.8891090934848296
Linear Regression,18288.306347733127,29473.624890242234,0.8867460730214138
Ridge Regression,19035.808910039395,30638.82756821462,0.8776143635357794
